1_0_1_CFA6_83A_2_11A0000_0_0_0          |  53158                             |  CFA6_83A_2_11A0000=--------                       |  53158=--------
1_0_1_3EF0_3006_233A_EEEE0000_0_0_0     |  5ACTION                           |  3EF0_3006_233A_EEEE0000=--------                  |  5action=5action
1_0_1_83D_83D_2_11A0000_0_0_0           |  5ACTION                           |  83D_83D_2_11A0000=--------                        |  5action=5action
1_0_19_4540_4084_233A_EEEE0000_0_0_0    |  5 HD                              |  4540_4084_233A_EEEE0000=--------                  |  5 hd=channel5
1_0_19_83C_83D_2_11A0000_0_0_0          |  5 HD                              |  83C_83D_2_11A0000=--------                        |  5 hd=channel5
1_0_16_4F20_4084_233A_EEEE0000_0_0_0    |  5SELECT                           |  4F20_4084_233A_EEEE0000=--------                  |  5select=5select
1_0_1_839_83D_2_11A0000_0_0_0           |  5SELECT                           |  839_83D_2_11A0000=--------                        |  5select=5select
1_0_1_3280_3006_233A_EEEE0000_0_0_0     |  5STAR                             |  3280_3006_233A_EEEE0000=--------                  |  5star=5star
1_0_1_838_83D_2_11A0000_0_0_0           |  5STAR                             |  838_83D_2_11A0000=--------                        |  5star=5star
1_0_1_83A_83D_2_11A0000_0_0_0           |  5STAR+1                           |  83A_83D_2_11A0000=--------                        |  5star+1=5starplus1
1_0_1_32C0_3006_233A_EEEE0000_0_0_0     |  5USA                              |  32C0_3006_233A_EEEE0000=--------                  |  5usa=5usa
1_0_1_836_83D_2_11A0000_0_0_0           |  5 USA                             |  836_83D_2_11A0000=--------                        |  5 usa=5usa
1_0_1_837_83D_2_11A0000_0_0_0           |  5USA+1                            |  837_83D_2_11A0000=--------                        |  5usa+1=5usaplus1
1_0_2_465C_805_600_FFFF0000_0_0_0       |  60s&70s Fever                     |  465C_805_600_FFFF0000=--------                    |  60s&70s fever=xitemusic
1_0_2_465B_805_600_FFFF0000_0_0_0       |  80s Flashback                     |  465B_805_600_FFFF0000=--------                    |  80s flashback=xitemusic
1_0_1_C4D4_811_2_11A0000_0_0_0          |  AAJ TAK                           |  C4D4_811_2_11A0000=--------                       |  aaj tak=aajtak
1_0_1_D3D5_839_2_11A0000_0_0_0          |  Aastha                            |  D3D5_839_2_11A0000=--------                       |  aastha=aastha
1_0_C_2199_2005_233A_EEEE0000_0_0_0     |  Accessible TV Guide               |  2199_2005_233A_EEEE0000=--------                  |  accessible tv guide=--------
1_0_1_64D_2454_13E_820000_0_0_0         |  ACI SPORT TV                      |  64D_2454_13E_820000=--------                      |  aci sport tv=acisporttv
1_0_1_5FB0_5040_233A_EEEE0000_0_0_0     |  ADULT1                            |  5FB0_5040_233A_EEEE0000=--------                  |  adult1=--------
1_0_1_6F60_6040_233A_EEEE0000_0_0_0     |  ADULT2                            |  6F60_6040_233A_EEEE0000=--------                  |  adult2=--------
1_0_1_5FB4_5040_233A_EEEE0000_0_0_0     |  ADULT3                            |  5FB4_5040_233A_EEEE0000=--------                  |  adult3=--------
1_0_1_6F68_6040_233A_EEEE0000_0_0_0     |  ADULT4                            |  6F68_6040_233A_EEEE0000=--------                  |  adult4=--------
1_0_1_6D00_6040_233A_EEEE0000_0_0_0     |  ADULT Babestn                     |  6D00_6040_233A_EEEE0000=--------                  |  adult babestn=babestation
